,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.169,0.032,0.119,,,0.341,,
ece,CLUTRR,0.194,0.286,0.186,,,0.686,,
ece,GSM8K,0.153,0.047,0.136,,,0.552,,
ece,DATE,0.082,0.147,0.113,,,0.317,,
ece,MULTIARITH,0.307,0.102,0.264,,,0.272,,
ece,SAYCAN,0.145,0.176,0.195,,,0.34,,
ece,SPORT,0.162,0.132,0.128,,,0.202,,
ece,STRATEGYQA,0.367,0.176,0.244,,,0.489,,
ece,SVAMP,0.203,0.031,0.169,,,0.37,,
ece,average,0.198,0.125,0.173,,,0.397,,
brier,ASDIV,0.18,0.135,0.162,,,0.346,,
brier,CLUTRR,0.244,0.29,0.244,,,0.67,,
brier,GSM8K,0.204,0.175,0.195,,,0.538,,
brier,DATE,0.165,0.187,0.176,,,0.316,,
brier,MULTIARITH,0.265,0.173,0.233,,,0.287,,
brier,SAYCAN,0.185,0.239,0.216,,,0.344,,
brier,SPORT,0.188,0.162,0.165,,,0.204,,
brier,STRATEGYQA,0.407,0.297,0.333,,,0.49,,
brier,SVAMP,0.236,0.189,0.229,,,0.376,,
brier,average,0.23,0.205,0.217,,,0.397,,
