,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.157,0.043,0.096,,,0.338,,
ece,CLUTRR,0.177,0.156,0.148,,,0.626,,
ece,GSM8K,0.142,0.037,0.128,,,0.548,,
ece,DATE,0.086,0.153,0.053,,,0.365,,
ece,MULTIARITH,0.36,0.153,0.308,,,0.184,,
ece,SAYCAN,0.129,0.138,0.183,,,0.208,,
ece,SPORT,0.122,0.142,0.118,,,0.186,,
ece,STRATEGYQA,0.435,0.099,0.249,,,0.398,,
ece,SVAMP,0.191,0.032,0.158,,,0.357,,
ece,average,0.2,0.106,0.16,,,0.357,,
brier,ASDIV,0.173,0.137,0.153,,,0.341,,
brier,CLUTRR,0.258,0.251,0.252,,,0.621,,
brier,GSM8K,0.206,0.184,0.205,,,0.542,,
brier,DATE,0.144,0.161,0.134,,,0.365,,
brier,MULTIARITH,0.265,0.139,0.226,,,0.199,,
brier,SAYCAN,0.184,0.217,0.215,,,0.223,,
brier,SPORT,0.146,0.153,0.143,,,0.187,,
brier,STRATEGYQA,0.442,0.253,0.324,,,0.403,,
brier,SVAMP,0.222,0.179,0.214,,,0.361,,
brier,average,0.227,0.186,0.207,,,0.36,,
