,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.043,0.125,0.072,,,0.28,,
ece,CLUTRR,0.212,0.395,0.3,,,0.558,,
ece,GSM8K,0.108,0.283,0.147,,,0.731,,
ece,DATE,0.146,0.259,0.198,,,0.45,,
ece,MULTIARITH,0.137,0.346,0.214,,,0.621,,
ece,SAYCAN,0.26,0.085,0.199,,,0.102,,
ece,SPORT,0.168,0.13,0.151,,,0.188,,
ece,STRATEGYQA,0.291,0.109,0.154,,,0.282,,
ece,SVAMP,0.057,0.138,0.093,,,0.304,,
ece,average,0.158,0.208,0.17,,,0.391,,
brier,ASDIV,0.095,0.119,0.101,,,0.265,,
brier,CLUTRR,0.285,0.386,0.33,,,0.553,,
brier,GSM8K,0.141,0.215,0.161,,,0.666,,
brier,DATE,0.22,0.261,0.234,,,0.441,,
brier,MULTIARITH,0.206,0.307,0.239,,,0.595,,
brier,SAYCAN,0.193,0.089,0.151,,,0.104,,
brier,SPORT,0.202,0.169,0.179,,,0.192,,
brier,STRATEGYQA,0.306,0.202,0.228,,,0.287,,
brier,SVAMP,0.117,0.142,0.127,,,0.287,,
brier,average,0.196,0.21,0.194,,,0.377,,
