,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.034,0.137,0.069,,,0.418,,
ece,CLUTRR,0.332,0.536,0.438,,,0.694,,
ece,GSM8K,0.109,0.242,0.109,,,0.806,,
ece,DATE,0.218,0.402,0.289,,,0.671,,
ece,MULTIARITH,0.153,0.305,0.178,,,0.818,,
ece,SAYCAN,0.158,0.077,0.156,,,0.273,,
ece,SPORT,0.469,0.083,0.27,,,0.322,,
ece,STRATEGYQA,0.346,0.163,0.22,,,0.421,,
ece,SVAMP,0.049,0.128,0.084,,,0.486,,
ece,average,0.208,0.23,0.201,,,0.545,,
brier,ASDIV,0.113,0.134,0.119,,,0.385,,
brier,CLUTRR,0.371,0.514,0.443,,,0.688,,
brier,GSM8K,0.089,0.148,0.107,,,0.708,,
brier,DATE,0.255,0.356,0.298,,,0.653,,
brier,MULTIARITH,0.13,0.214,0.159,,,0.741,,
brier,SAYCAN,0.187,0.147,0.171,,,0.273,,
brier,SPORT,0.452,0.238,0.318,,,0.333,,
brier,STRATEGYQA,0.389,0.278,0.309,,,0.424,,
brier,SVAMP,0.151,0.163,0.159,,,0.447,,
brier,average,0.237,0.244,0.231,,,0.517,,
