,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
ece,ASDIV,0.179,0.035,0.124,,,0.371,,
ece,CLUTRR,0.196,0.294,0.182,,,0.638,,
ece,GSM8K,0.072,0.088,0.072,,,0.702,,
ece,DATE,0.087,0.159,0.131,,,0.417,,
ece,MULTIARITH,0.262,0.078,0.254,,,0.4,,
ece,SAYCAN,0.171,0.143,0.234,,,0.556,,
ece,SPORT,0.261,0.35,0.317,,,0.4,,
ece,STRATEGYQA,0.402,0.149,0.26,,,0.473,,
ece,SVAMP,0.223,0.047,0.19,,,0.398,,
ece,average,0.206,0.149,0.196,,,0.484,,
brier,ASDIV,0.19,0.148,0.171,,,0.373,,
brier,CLUTRR,0.273,0.309,0.269,,,0.624,,
brier,GSM8K,0.161,0.163,0.164,,,0.672,,
brier,DATE,0.187,0.212,0.202,,,0.416,,
brier,MULTIARITH,0.274,0.204,0.26,,,0.403,,
brier,SAYCAN,0.262,0.235,0.275,,,0.549,,
brier,SPORT,0.282,0.346,0.317,,,0.399,,
brier,STRATEGYQA,0.423,0.282,0.336,,,0.475,,
brier,SVAMP,0.243,0.191,0.234,,,0.401,,
brier,average,0.255,0.232,0.248,,,0.479,,
